q_id,image_id,question,answer,full_answer
601,graph_601_normal,Explain the anomaly in Brian Carey if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
602,graph_602_normal,Explain the anomaly in Nathaniel Madden if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
603,graph_603_normal,Explain the anomaly in Jennifer Stephens if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
604,graph_604_normal,Explain the anomaly in Misty Turner if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
605,graph_605_normal,Explain the anomaly in Sally Gonzalez if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
606,graph_606_normal,Explain the anomaly in Katherine Jackson if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
607,graph_607_normal,Explain the anomaly in Rodney Miller if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
608,graph_608_normal,Explain the anomaly in Christopher Peck if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
609,graph_609_normal,Explain the anomaly in Denise Malone if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
610,graph_610_normal,Explain the anomaly in Peter Foster if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
611,graph_611_normal,Explain the anomaly in Eric Molina if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
612,graph_612_normal,Explain the anomaly in Steven Espinoza if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
613,graph_613_normal,Explain the anomaly in William Collins if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
614,graph_614_normal,Explain the anomaly in James Palmer if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
615,graph_615_normal,Explain the anomaly in Lisa Peters if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
616,graph_616_normal,Explain the anomaly in Jennifer Nelson if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
617,graph_617_normal,Explain the anomaly in Christian Allen if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
618,graph_618_normal,Explain the anomaly in Justin Marquez if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
619,graph_619_normal,Explain the anomaly in Ryan Foster if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
620,graph_620_normal,Explain the anomaly in Matthew Alvarez if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
621,graph_621_normal,Explain the anomaly in Kim Hughes if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
622,graph_622_normal,Explain the anomaly in Ashley Braun if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
623,graph_623_normal,Explain the anomaly in Shelly Stanley if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
624,graph_624_normal,Explain the anomaly in Jeremy Johns if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
625,graph_625_normal,Explain the anomaly in Brad Price if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
626,graph_626_normal,Explain the anomaly in Nancy Barnett if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
627,graph_627_normal,Explain the anomaly in Jennifer Ramirez if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
628,graph_628_normal,Explain the anomaly in Danielle Fisher if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
629,graph_629_normal,Explain the anomaly in Ashley Miles if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
630,graph_630_normal,Explain the anomaly in Karen Young if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
631,graph_631_normal,Explain the anomaly in William Vega if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
632,graph_632_normal,Explain the anomaly in Elizabeth Carr if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
633,graph_633_normal,Explain the anomaly in Danielle Kennedy if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
634,graph_634_normal,Explain the anomaly in Daniel Alvarez if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
635,graph_635_normal,Explain the anomaly in Andrew Diaz if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
636,graph_636_normal,Explain the anomaly in Nicholas Ward if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
637,graph_637_normal,Explain the anomaly in Charles Reyes if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
638,graph_638_normal,Explain the anomaly in Tiffany Bowen if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
639,graph_639_normal,Explain the anomaly in Laura Martinez if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
640,graph_640_normal,Explain the anomaly in Kevin Whitehead if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
641,graph_641_normal,Explain the anomaly in Susan Hamilton if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
642,graph_642_normal,Explain the anomaly in Mary Davis if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
643,graph_643_normal,Explain the anomaly in Sonya Casey if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
644,graph_644_normal,Explain the anomaly in Bryan Branch if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
645,graph_645_normal,Explain the anomaly in David Hall if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
646,graph_646_normal,Explain the anomaly in Melissa Dixon if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
647,graph_647_normal,Explain the anomaly in Diana Gibson if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
648,graph_648_normal,Explain the anomaly in Denise Hamilton if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
