q_id,image_id,question,answer,full_answer
1,graph_1_normal,Explain the anomaly in Ryan Livingston if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
2,graph_2_normal,Explain the anomaly in Nicholas Foster if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
3,graph_3_normal,Explain the anomaly in Christina Parks if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
4,graph_4_normal,Explain the anomaly in John Jones if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
5,graph_5_normal,Explain the anomaly in Jimmy Garcia if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
6,graph_6_normal,Explain the anomaly in Brooke Calderon if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
7,graph_7_normal,Explain the anomaly in Michelle Clark if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
8,graph_8_normal,Explain the anomaly in Repo 12 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
9,graph_9_normal,Explain the anomaly in Repo 10 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
10,graph_10_normal,Explain the anomaly in James Lopez if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
11,graph_11_normal,Explain the anomaly in Repo 5 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
12,graph_12_normal,Explain the anomaly in David Jones if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
13,graph_13_normal,Explain the anomaly in Repo 7 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
14,graph_14_normal,Explain the anomaly in Repo 8 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
15,graph_15_normal,Explain the anomaly in Repo 5 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
16,graph_16_normal,Explain the anomaly in Michael Cantrell if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
17,graph_17_normal,Explain the anomaly in Ronald Shaw if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
18,graph_18_normal,Explain the anomaly in Repo 8 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
19,graph_19_normal,Explain the anomaly in Michael Benson if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
20,graph_20_normal,Explain the anomaly in Repo 12 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
21,graph_21_normal,Explain the anomaly in Repo 6 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
22,graph_22_normal,Explain the anomaly in Repo 2 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
23,graph_23_normal,Explain the anomaly in Repo 4 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
24,graph_24_normal,Explain the anomaly in Jasmine Green if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
25,graph_25_normal,Explain the anomaly in Monica French if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
26,graph_26_normal,Explain the anomaly in Repo 10 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
27,graph_27_normal,Explain the anomaly in Repo 6 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
28,graph_28_normal,Explain the anomaly in Amanda Edwards if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
29,graph_29_normal,Explain the anomaly in Dustin Jackson if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
30,graph_30_normal,Explain the anomaly in Repo 10 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
31,graph_31_normal,Explain the anomaly in Repo 12 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
32,graph_32_normal,Explain the anomaly in Repo 7 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
33,graph_33_normal,Explain the anomaly in Ana Carter if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
34,graph_34_normal,Explain the anomaly in Repo 6 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
35,graph_35_normal,Explain the anomaly in Repo 2 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
36,graph_36_normal,Explain the anomaly in Repo 1 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
37,graph_37_normal,Explain the anomaly in Keith Huang if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
38,graph_38_normal,Explain the anomaly in Repo 9 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
39,graph_39_normal,Explain the anomaly in Jesse Craig if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
40,graph_40_normal,Explain the anomaly in Crystal Lee if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
41,graph_41_normal,Explain the anomaly in Joseph Frederick if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
42,graph_42_normal,Explain the anomaly in Repo 1 if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
43,graph_43_normal,Explain the anomaly in Randy Carey if there are any.,There are no anomalies in this node.,There are no anomalies in this node.
